prix_maj;prix_valeur;prix_nom
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
2024-01-12T10:00:00+01:00;0.848;E85
;;
;;
;;
;;
;;
2024-01-03T19:07:33+01:00;0.848;E85
;;
;;
;;
2023-08-17T11:04:07+02:00;1.099;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-10T14:24:22+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
2024-01-02T12:55:38+01:00;0.848;E85
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-16T07:00:00+01:00;0.929;E85
;;
;;
;;
2024-01-15T11:19:17+01:00;0.909;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
;;
;;
;;
2024-01-11T16:33:07+01:00;0.959;E85
;;
;;
;;
;;
;;
2024-01-15T20:31:00+01:00;0.904;GPLc
2024-01-16T12:05:50+01:00;0.869;E85
2024-01-14T15:20:03+01:00;0.89;E85
;;
;;
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
2024-01-15T09:33:47+01:00;0.939;E85
;;
2024-01-01T12:24:59+01:00;0.988;E85
2024-01-15T11:29:40+01:00;1.002;GPLc
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2023-12-11T11:12:39+01:00;1.09;E85
;;
;;
;;
;;
;;
;;
2023-12-11T13:22:18+01:00;0.919;GPLc
;;
;;
;;
;;
;;
;;
;;
2024-01-08T08:34:01+01:00;0.876;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T21:00:00+01:00;0.999;GPLc
;;
2024-01-15T20:31:00+01:00;0.919;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-03T07:57:38+01:00;0.849;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-13T04:02:00+01:00;0.899;E85
;;
;;
;;
;;
2024-01-16T09:34:40+01:00;0.949;GPLc
;;
;;
;;
;;
;;
;;
2024-01-06T08:17:21+01:00;0.962;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-15T01:01:00+01:00;0.899;E85
;;
;;
;;
;;
2023-12-20T09:13:08+01:00;0.959;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-13T04:03:00+01:00;0.928;E85
2024-01-13T07:56:33+01:00;0.849;E85
;;
;;
2024-01-15T23:36:00+01:00;0.968;E85
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
2024-01-13T04:02:00+01:00;0.899;E85
2023-12-29T10:25:24+01:00;0.899;E85
;;
;;
2024-01-15T20:31:00+01:00;0.899;E85
;;
;;
;;
;;
;;
;;
2024-01-04T14:30:00+01:00;0.949;E85
;;
;;
;;
;;
;;
