,prix_maj,prix_valeur,prix_nom
817,2024-01-16 06:00:00+00:00,1.079,GPLc
819,2024-01-15 09:00:00+00:00,1.054,GPLc
825,2024-01-15 10:16:00+00:00,0.97,E85
831,2024-01-16 07:24:49+00:00,0.849,E85
834,2024-01-15 19:31:00+00:00,0.919,GPLc
841,2024-01-05 09:20:03+00:00,0.849,E85
872,2024-01-15 19:31:00+00:00,0.899,E85
883,2024-01-05 06:49:12+00:00,0.849,E85
892,2023-12-13 09:30:45+00:00,0.96,GPLc
898,2024-01-15 10:44:46+00:00,1.089,E85
905,2024-01-15 19:31:00+00:00,1.009,GPLc
914,2023-12-18 13:51:36+00:00,1.146,E85
925,2024-01-15 19:31:00+00:00,1.054,GPLc
931,2024-01-04 18:43:40+00:00,0.919,E85
934,2024-01-15 10:00:00+00:00,0.94,E85
939,2024-01-10 07:52:49+00:00,1.048,E85
940,2024-01-16 09:33:00+00:00,0.865,E85
947,2023-12-08 06:15:37+00:00,0.959,E85
957,2024-01-13 09:22:57+00:00,0.929,E85
967,2023-12-01 09:00:00+00:00,0.949,GPLc
988,2024-01-11 14:33:21+00:00,0.99,E85
996,2024-01-08 11:24:16+00:00,0.849,E85
1000,2024-01-13 08:00:00+00:00,0.899,E85
1006,2023-12-19 15:36:03+00:00,0.915,GPLc
1010,2024-01-11 10:19:28+00:00,0.848,E85
1013,2024-01-02 12:25:47+00:00,0.848,E85
1016,2024-01-10 08:52:04+00:00,0.849,E85
1018,2023-12-27 11:05:42+00:00,0.899,E85
1025,2023-10-10 08:36:07+00:00,1.025,E85
1026,2023-11-13 08:30:00+00:00,0.999,GPLc
1027,2024-01-15 14:01:26+00:00,0.848,E85
1028,2024-01-11 06:00:00+00:00,1.109,E85
1029,2023-11-18 18:59:29+00:00,0.999,E85
1034,2024-01-16 10:31:00+00:00,0.889,E85
1044,2024-01-12 13:51:08+00:00,0.889,E85
1055,2024-01-02 10:40:13+00:00,0.849,E85
1056,2024-01-12 08:44:59+00:00,0.909,E85
1075,2024-01-04 08:56:23+00:00,0.849,E85
1087,2024-01-08 08:14:38+00:00,0.919,E85
1091,2024-01-09 19:00:00+00:00,0.999,E85
1093,2024-01-05 14:07:22+00:00,0.959,E85
1095,2023-11-29 12:35:00+00:00,0.999,E85
1096,2023-12-20 10:18:03+00:00,0.958,E85
1102,2024-01-08 09:00:00+00:00,0.849,E85
1103,2024-01-02 10:12:11+00:00,0.98,E85
